,C,Kernel,p,q,Accuracy,False negative rate,False positive rate,sum
284,2.0,poly,13,2,0.8652482269503546,0.11789772727272728,0.2606534090909091,0.3785511363636364
123,1.0,rbf,3,8,0.8297872340425532,0.10227272727272728,0.27769886363636365,0.37997159090909094
2,0.1,linear,3,6,0.8368794326241135,0.16477272727272727,0.21661931818181818,0.3813920454545454
4,0.1,linear,5,2,0.8475177304964538,0.16051136363636365,0.22301136363636365,0.3835227272727273
120,1.0,rbf,3,2,0.8226950354609929,0.15056818181818182,0.23295454545454544,0.3835227272727273
13,0.1,linear,9,4,0.8687943262411347,0.13423295454545456,0.2507102272727273,0.3849431818181819
183,1.0,poly,9,8,0.8404255319148937,0.09659090909090909,0.2890625,0.38565340909090906
331,5.0,rbf,11,8,0.8404255319148937,0.1015625,0.2840909090909091,0.3856534090909091
380,5.0,poly,13,2,0.8794326241134752,0.08167613636363637,0.3053977272727273,0.38707386363636365
249,2.0,sigmoid,7,4,0.7978723404255319,0.16832386363636365,0.21946022727272727,0.38778409090909094
329,5.0,rbf,11,4,0.8829787234042553,0.078125,0.3117897727272727,0.3899147727272727
221,2.0,rbf,5,4,0.8297872340425532,0.09446022727272728,0.29545454545454547,0.38991477272727276
10,0.1,linear,7,6,0.8191489361702128,0.14772727272727273,0.24289772727272727,0.390625
319,5.0,rbf,5,8,0.8156028368794326,0.09517045454545454,0.29545454545454547,0.390625
234,2.0,rbf,11,6,0.8546099290780141,0.08451704545454546,0.3068181818181818,0.3913352272727273
238,2.0,rbf,13,6,0.8865248226950354,0.09019886363636363,0.3018465909090909,0.39204545454545453
8,0.1,linear,7,2,0.8404255319148937,0.16832386363636365,0.22514204545454544,0.39346590909090906
236,2.0,rbf,13,2,0.8971631205673759,0.0859375,0.3075284090909091,0.3934659090909091
198,2.0,linear,5,6,0.8156028368794326,0.1512784090909091,0.24289772727272727,0.39417613636363635
0,0.1,linear,3,2,0.8687943262411347,0.15269886363636365,0.2421875,0.39488636363636365
98,1.0,linear,3,6,0.8333333333333334,0.13636363636363635,0.25923295454545453,0.3955965909090909
228,2.0,rbf,9,2,0.851063829787234,0.07883522727272728,0.31676136363636365,0.39559659090909094
290,5.0,linear,3,6,0.8333333333333334,0.14914772727272727,0.24857954545454544,0.3977272727272727
143,1.0,rbf,13,8,0.8971631205673759,0.08451704545454546,0.31392045454545453,0.3984375
237,2.0,rbf,13,4,0.8617021276595744,0.08025568181818182,0.3181818181818182,0.3984375
166,1.0,sigmoid,13,6,0.875886524822695,0.13849431818181818,0.2599431818181818,0.3984375
14,0.1,linear,9,6,0.8475177304964538,0.1455965909090909,0.25355113636363635,0.3991477272727273
55,0.1,sigmoid,5,8,0.8368794326241135,0.1796875,0.21946022727272727,0.3991477272727273
292,5.0,linear,5,2,0.7943262411347518,0.17755681818181818,0.22301136363636365,0.4005681818181818
6,0.1,linear,5,6,0.7978723404255319,0.12926136363636365,0.2713068181818182,0.4005681818181818
