C_in,C_pos,kernel_in,kernel_pos,n,accuracy_in,accuracy_pos
1.0,1.0,poly,rbf,7,0.8297872340425532,0.5531914893617021
1.0,1.0,poly,rbf,12,0.7269503546099291,0.41975308641975306
1.0,1.0,poly,rbf,17,0.7163120567375887,0.2916666666666667
1.0,1.0,poly,sigmoid,7,0.8475177304964538,0.3333333333333333
1.0,1.0,poly,sigmoid,12,0.7056737588652482,0.3902439024390244
1.0,1.0,poly,sigmoid,17,0.7588652482269503,0.3953488372093023
1.0,1.0,poly,poly,7,0.8546099290780141,0.21428571428571427
1.0,1.0,poly,poly,12,0.6879432624113475,0.24742268041237114
1.0,1.0,poly,poly,17,0.7340425531914894,0.13740458015267176
1.0,2.0,linear,linear,7,0.8439716312056738,0.375
1.0,2.0,linear,linear,12,0.6950354609929078,0.325
1.0,2.0,linear,linear,17,0.7198581560283688,0.4097222222222222
1.0,2.0,linear,rbf,7,0.8014184397163121,0.48
1.0,2.0,linear,rbf,12,0.7269503546099291,0.5
1.0,2.0,linear,rbf,17,0.6631205673758865,0.39669421487603307
1.0,2.0,linear,sigmoid,7,0.8546099290780141,0.4418604651162791
1.0,2.0,linear,sigmoid,12,0.7163120567375887,0.39473684210526316
1.0,2.0,linear,sigmoid,17,0.6595744680851063,0.3851851851851852
1.0,2.0,linear,poly,7,0.8439716312056738,0.35714285714285715
1.0,2.0,linear,poly,12,0.7198581560283688,0.32954545454545453
1.0,2.0,linear,poly,17,0.6524822695035462,0.2734375
1.0,2.0,rbf,linear,7,0.8333333333333334,0.3191489361702128
1.0,2.0,rbf,linear,12,0.7553191489361702,0.4931506849315068
1.0,2.0,rbf,linear,17,0.7056737588652482,0.3424657534246575
1.0,2.0,rbf,rbf,7,0.851063829787234,0.43902439024390244
1.0,2.0,rbf,rbf,12,0.7836879432624113,0.4605263157894737
1.0,2.0,rbf,rbf,17,0.7375886524822695,0.40458015267175573
1.0,2.0,rbf,sigmoid,7,0.8475177304964538,0.4883720930232558
1.0,2.0,rbf,sigmoid,12,0.7446808510638298,0.3058823529411765
1.0,2.0,rbf,sigmoid,17,0.7446808510638298,0.4
1.0,2.0,rbf,poly,7,0.8368794326241135,0.391304347826087
1.0,2.0,rbf,poly,12,0.7695035460992907,0.1780821917808219
1.0,2.0,rbf,poly,17,0.6950354609929078,0.13953488372093023
1.0,2.0,sigmoid,linear,7,0.8297872340425532,0.4583333333333333
1.0,2.0,sigmoid,linear,12,0.7624113475177305,0.4634146341463415
1.0,2.0,sigmoid,linear,17,0.7092198581560284,0.40601503759398494
1.0,2.0,sigmoid,rbf,7,0.8226950354609929,0.3
1.0,2.0,sigmoid,rbf,12,0.7375886524822695,0.3888888888888889
1.0,2.0,sigmoid,rbf,17,0.7269503546099291,0.375
1.0,2.0,sigmoid,sigmoid,7,0.8475177304964538,0.46511627906976744
1.0,2.0,sigmoid,sigmoid,12,0.7801418439716312,0.3188405797101449
1.0,2.0,sigmoid,sigmoid,17,0.6702127659574468,0.36231884057971014
1.0,2.0,sigmoid,poly,7,0.8546099290780141,0.4
1.0,2.0,sigmoid,poly,12,0.7127659574468085,0.11904761904761904
1.0,2.0,sigmoid,poly,17,0.6985815602836879,0.18796992481203006
1.0,2.0,poly,linear,7,0.8687943262411347,0.4444444444444444
1.0,2.0,poly,linear,12,0.75177304964539,0.36486486486486486
1.0,2.0,poly,linear,17,0.7304964539007093,0.36885245901639346
1.0,2.0,poly,rbf,7,0.8085106382978723,0.4909090909090909
1.0,2.0,poly,rbf,12,0.6985815602836879,0.43529411764705883
1.0,2.0,poly,rbf,17,0.6773049645390071,0.3333333333333333
1.0,2.0,poly,sigmoid,7,0.8546099290780141,0.43902439024390244
1.0,2.0,poly,sigmoid,12,0.7198581560283688,0.36585365853658536
1.0,2.0,poly,sigmoid,17,0.7021276595744681,0.34532374100719426
1.0,2.0,poly,poly,7,0.8581560283687943,0.3170731707317073
1.0,2.0,poly,poly,12,0.7021276595744681,0.12941176470588237
1.0,2.0,poly,poly,17,0.6843971631205674,0.25
2.0,0.1,linear,linear,7,0.8581560283687943,0.55
2.0,0.1,linear,linear,12,0.75177304964539,0.40540540540540543
2.0,0.1,linear,linear,17,0.6879432624113475,0.424
2.0,0.1,linear,rbf,7,0.8936170212765957,0.1724137931034483
2.0,0.1,linear,rbf,12,0.7304964539007093,0.07317073170731707
2.0,0.1,linear,rbf,17,0.6666666666666666,0.06944444444444445
2.0,0.1,linear,sigmoid,7,0.8652482269503546,0.175
2.0,0.1,linear,sigmoid,12,0.7092198581560284,0.1625
2.0,0.1,linear,sigmoid,17,0.6808510638297872,0.17757009345794392
2.0,0.1,linear,poly,7,0.8475177304964538,0.11764705882352941
2.0,0.1,linear,poly,12,0.723404255319149,0.08450704225352113
2.0,0.1,linear,poly,17,0.6702127659574468,0.045454545454545456
2.0,0.1,rbf,linear,7,0.8262411347517731,0.5416666666666666
2.0,0.1,rbf,linear,12,0.7872340425531915,0.4426229508196721
2.0,0.1,rbf,linear,17,0.7127659574468085,0.30656934306569344
2.0,0.1,rbf,rbf,7,0.8404255319148937,0.11764705882352941
2.0,0.1,rbf,rbf,12,0.723404255319149,0.10588235294117647
2.0,0.1,rbf,rbf,17,0.7198581560283688,0.05555555555555555
2.0,0.1,rbf,sigmoid,7,0.8404255319148937,0.19047619047619047
2.0,0.1,rbf,sigmoid,12,0.7624113475177305,0.10588235294117647
2.0,0.1,rbf,sigmoid,17,0.7340425531914894,0.10236220472440945
2.0,0.1,rbf,poly,7,0.851063829787234,0.17777777777777778
2.0,0.1,rbf,poly,12,0.7695035460992907,0.06097560975609756
2.0,0.1,rbf,poly,17,0.6595744680851063,0.055944055944055944
2.0,0.1,sigmoid,linear,7,0.8687943262411347,0.5135135135135135
2.0,0.1,sigmoid,linear,12,0.7304964539007093,0.358974358974359
2.0,0.1,sigmoid,linear,17,0.6879432624113475,0.30708661417322836
2.0,0.1,sigmoid,rbf,7,0.8475177304964538,0.16279069767441862
2.0,0.1,sigmoid,rbf,12,0.74822695035461,0.14102564102564102
2.0,0.1,sigmoid,rbf,17,0.6631205673758865,0.08208955223880597
2.0,0.1,sigmoid,sigmoid,7,0.8475177304964538,0.16279069767441862
2.0,0.1,sigmoid,sigmoid,12,0.7411347517730497,0.046511627906976744
