,C,Kernel,p,q,Accuracy,False negative rate,False positive rate
216,2.0,rbf,3,2,0.851063829787234,0.10653409090909091,0.23508522727272727
217,2.0,rbf,3,4,0.8652482269503546,0.10724431818181818,0.24786931818181818
218,2.0,rbf,3,6,0.8120567375886525,0.09730113636363637,0.2521306818181818
219,2.0,rbf,3,8,0.8191489361702128,0.09019886363636363,0.2819602272727273
220,2.0,rbf,5,2,0.8191489361702128,0.08735795454545454,0.2528409090909091
221,2.0,rbf,5,4,0.8297872340425532,0.09446022727272728,0.29545454545454547
222,2.0,rbf,5,6,0.8333333333333334,0.10724431818181818,0.21875
223,2.0,rbf,5,8,0.8333333333333334,0.12144886363636363,0.23082386363636365
224,2.0,rbf,7,2,0.8687943262411347,0.09730113636363637,0.22869318181818182
225,2.0,rbf,7,4,0.8581560283687943,0.09161931818181818,0.24928977272727273
226,2.0,rbf,7,6,0.8049645390070922,0.08735795454545454,0.24360795454545456
227,2.0,rbf,7,8,0.851063829787234,0.09019886363636363,0.27769886363636365
228,2.0,rbf,9,2,0.851063829787234,0.07883522727272728,0.31676136363636365
229,2.0,rbf,9,4,0.8368794326241135,0.11292613636363637,0.2294034090909091
230,2.0,rbf,9,6,0.8120567375886525,0.0859375,0.265625
231,2.0,rbf,9,8,0.8404255319148937,0.10298295454545454,0.2727272727272727
232,2.0,rbf,11,2,0.8936170212765957,0.09588068181818182,0.2634943181818182
233,2.0,rbf,11,4,0.8971631205673759,0.08664772727272728,0.25923295454545453
234,2.0,rbf,11,6,0.8546099290780141,0.08451704545454546,0.3068181818181818
235,2.0,rbf,11,8,0.8794326241134752,0.078125,0.28551136363636365
236,2.0,rbf,13,2,0.8971631205673759,0.0859375,0.3075284090909091
237,2.0,rbf,13,4,0.8617021276595744,0.08025568181818182,0.3181818181818182
238,2.0,rbf,13,6,0.8865248226950354,0.09019886363636363,0.3018465909090909
239,2.0,rbf,13,8,0.8439716312056738,0.08380681818181818,0.26420454545454547
240,2.0,sigmoid,3,2,0.8333333333333334,0.18039772727272727,0.2507102272727273
241,2.0,sigmoid,3,4,0.7978723404255319,0.1924715909090909,0.28267045454545453
242,2.0,sigmoid,3,6,0.8687943262411347,0.16193181818181818,0.2727272727272727
243,2.0,sigmoid,3,8,0.8439716312056738,0.1640625,0.29829545454545453
244,2.0,sigmoid,5,2,0.851063829787234,0.19105113636363635,0.23082386363636365
245,2.0,sigmoid,5,4,0.8333333333333334,0.17755681818181818,0.24289772727272727
246,2.0,sigmoid,5,6,0.8156028368794326,0.1640625,0.2784090909090909
247,2.0,sigmoid,5,8,0.8226950354609929,0.19105113636363635,0.265625
248,2.0,sigmoid,7,2,0.8156028368794326,0.16477272727272727,0.3103693181818182
249,2.0,sigmoid,7,4,0.7978723404255319,0.16832386363636365,0.21946022727272727
250,2.0,sigmoid,7,6,0.8368794326241135,0.16335227272727273,0.2784090909090909
251,2.0,sigmoid,7,8,0.8049645390070922,0.1640625,0.2727272727272727
252,2.0,sigmoid,9,2,0.8333333333333334,0.15269886363636365,0.3125
